23:30, TSV Hartberg - Lask Linz, Home Win: 26%, Draw: 34%, Away Win: 40%, FTR: - 
23:30, Austria Klagenfurt - Red Bull Salzburg, Home Win: 16%, Draw: 27%, Away Win: 57%, FTR: - 
23:45, Rotenburger SV - Kickers Emden, Home Win: 20%, Draw: 20%, Away Win: 60%, FTR: - 
23:45, Twente - Almere City FC, Home Win: 62%, Draw: 23%, Away Win: 15%, FTR: - 
00:00, Bayern Munich II - TSV Buchbach, Home Win: 70%, Draw: 20%, Away Win: 10%, FTR: - 
00:00, SSV Jeddeloh - VfB Phoenix Lubeck, Home Win: 17%, Draw: 31%, Away Win: 52%, FTR: - 
00:00, Hamburger SV II - VfB Oldenburg, Home Win: 31%, Draw: 35%, Away Win: 34%, FTR: - 
00:00, FC Saarbrucken - Rot-Weiss Essen, Home Win: 57%, Draw: 23%, Away Win: 20%, FTR: - 
00:00, Lorient - Paris Saint Germain, Home Win: 15%, Draw: 19%, Away Win: 66%, FTR: - 
00:00, Crvena Zvezda - FK Partizan, Home Win: 60%, Draw: 23%, Away Win: 17%, FTR: - 
00:00, Spartak Myjava - FK Pohronie Dolna Zdana, Home Win: 47%, Draw: 26%, Away Win: 27%, FTR: - 
00:00, Jerv - Stromsgodset, Home Win: 28%, Draw: 17%, Away Win: 55%, FTR: - 
00:00, FK Zalgiris Vilnius - Dainava Alytus, Home Win: 62%, Draw: 25%, Away Win: 13%, FTR: - 
00:05, Strommen - Lillestrom, Home Win: 30%, Draw: 17%, Away Win: 53%, FTR: - 
00:30, Zenit - Rubin, Home Win: 64%, Draw: 24%, Away Win: 12%, FTR: - 
00:30, Krasnodar - Baltika, Home Win: 61%, Draw: 27%, Away Win: 12%, FTR: - 
00:30, AEK Athens - Panathinaikos, Home Win: 44%, Draw: 31%, Away Win: 25%, FTR: - 
00:30, Trabzonspor - Fatih Karagumruk AS, Home Win: 61%, Draw: 22%, Away Win: 17%, FTR: - 
00:30, Stade Nyonnais - FC Vaduz, Home Win: 37%, Draw: 34%, Away Win: 29%, FTR: - 
